date,0x20240830,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0x8955bdf5,NA,0x99db4848,NA,0x4a7ff9c4,NA,0xc760507b,NA,0x81b34f,NA,0x8b38955e,NA,0x6d54bf87,NA,0x917abdfe,NA,0x26645874,NA,0x26645874,NA,0x85f9e64c,NA,end
max_current,500,NA,2000,NA,6000,NA,7300,NA,1300,NA,3000,NA,4000,NA,1200,NA,2800,NA,2800,NA,11000,NA,end
fcc,5520,NA,5520,NA,5520,NA,5439,NA,5157,NA,5439,NA,5520,NA,5520,NA,5476,NA,5476,NA,5520,NA,end
0,460,530,141,1893,713,5955,63,5877,100,2720,64,2303,93,3596,20,764,635,2523,635,2523,166,7796,end
1,3113,541,858,1920,252,5949,100,14464,604,2720,273,5667,217,7359,1706,994,635,2523,635,2523,166,7796,end
2,3515,545,941,2072,303,5953,159,14476,664,2683,360,5770,259,7541,1785,1016,741,2504,741,2504,201,9642,end
3,3489,544,1036,1897,364,5947,151,12049,715,2650,354,5750,252,7468,1789,1013,752,2457,752,2457,167,9493,end
4,3465,543,986,1909,301,5981,151,12043,707,2613,301,5787,251,7500,1841,1006,805,2448,805,2448,195,9793,end
5,3565,536,1031,1898,302,5952,151,12039,715,2593,353,5758,301,7469,1823,995,751,2396,751,2396,208,9803,end
6,3559,537,995,1895,313,5952,149,12036,767,2572,353,5751,261,7472,1933,952,806,2403,806,2403,149,9682,end
7,3534,533,1062,1887,302,5954,161,11831,706,2561,299,5822,251,7495,1961,948,736,2372,736,2372,199,9750,end
8,3596,529,977,1894,312,5975,150,11833,717,2542,351,5804,249,7534,1885,964,806,2372,806,2372,198,9876,end
9,3628,527,1037,1870,301,5985,200,11795,768,2535,364,5762,252,7517,1910,958,789,2371,789,2371,199,9940,end
10,3577,524,1037,1854,302,5972,160,11756,718,2528,302,5688,263,7450,1902,957,803,2365,803,2365,209,9888,end
11,3602,523,1057,1850,312,5954,150,11756,759,2524,351,5776,252,7407,1961,932,801,2363,801,2363,199,9826,end
12,3649,522,1046,1851,352,5961,201,9744,718,2526,304,5743,252,7380,1946,935,790,2363,790,2363,149,9779,end
13,3648,520,1036,1850,302,5956,210,9739,768,2523,355,5712,248,7512,1958,947,755,2362,755,2362,199,9702,end
14,3644,522,1045,1845,312,5956,201,9678,708,2522,305,5670,262,7500,1902,953,799,2342,799,2342,209,9680,end
15,3642,520,1037,1841,302,5971,150,9676,768,2523,364,5783,252,7438,1908,951,806,2357,806,2357,199,9742,end
16,3651,520,1086,1843,312,5969,209,9676,768,2520,355,5728,302,7399,2010,907,800,2332,800,2332,199,9694,end
17,3536,520,1042,1842,302,5969,200,9608,718,2515,296,5772,259,7498,1968,947,830,2342,830,2342,198,9738,end
18,3638,519,1008,1842,302,5957,201,9609,758,2514,355,5749,252,7476,1904,947,794,2317,794,2317,209,9744,end
19,3709,517,1045,1841,312,5952,211,9609,718,2510,304,5698,252,7424,1976,946,808,2317,808,2317,199,9675,end
20,3574,516,1083,1839,302,5961,200,9605,768,2506,349,5826,249,7579,1964,917,787,2319,787,2319,199,9730,end
21,3751,515,1042,1833,353,5965,188,9594,753,2501,304,5787,253,7555,1956,946,802,2311,802,2311,149,9689,end
22,3757,514,1075,1829,312,5961,210,8774,719,2494,365,5741,263,7498,1905,946,848,2311,848,2311,199,9694,end
23,3731,513,1038,1827,302,5954,250,8770,768,2494,355,5723,252,7442,1985,933,801,2303,801,2303,209,9710,end
24,3700,511,1088,1753,313,5959,210,8760,768,2489,302,5757,252,7392,1902,935,802,2299,802,2299,284,6843,end
25,3743,510,1119,1793,302,5960,200,8754,761,2487,329,5720,250,7514,1973,934,797,2291,797,2291,258,6906,end
26,3668,511,1064,1818,301,5976,261,8750,759,2466,303,5757,262,7472,2001,935,807,2296,807,2296,298,6897,end
27,3745,508,1016,1835,347,5960,200,8750,768,2479,354,5707,252,7428,1906,937,845,2279,845,2279,247,6754,end
28,3751,508,1076,1850,353,4967,200,8752,717,2476,352,5824,252,7379,1982,934,797,2284,797,2284,299,6717,end
29,3743,507,1001,1861,361,4992,210,8752,804,2473,304,5776,310,7508,1948,927,844,2281,844,2281,308,6741,end
30,3729,508,1067,1870,403,4989,251,8750,758,2467,365,5736,252,7471,1931,929,807,2282,807,2282,249,6795,end
31,3805,504,966,1883,360,5022,210,8751,717,2465,305,5687,252,7418,1941,927,845,2271,845,2271,298,6788,end
32,3746,504,1068,1890,353,5003,200,8750,768,2462,350,5765,252,7370,2089,909,806,2280,806,2280,259,6735,end
33,3751,504,975,1901,411,5014,251,8747,769,2462,355,5754,261,7521,1948,929,845,2268,845,2268,294,6930,end
34,3687,504,1016,1909,353,5000,210,8768,758,2458,304,5703,252,7465,1950,923,805,2276,805,2276,249,6959,end
35,3787,505,1018,1914,351,5003,200,8759,769,2455,355,5657,252,7423,1991,921,845,2268,845,2268,308,6912,end
36,3755,502,1017,1921,413,4992,260,8762,764,2453,304,5769,249,7375,1987,908,792,2269,792,2269,248,6840,end
37,3735,504,968,1925,351,4996,200,8758,768,2455,365,5732,310,7496,1955,919,847,2262,847,2262,299,6806,end
38,3789,502,1029,1932,363,4977,200,8757,759,2450,356,5687,252,7458,2036,922,787,2273,787,2273,247,6841,end
39,3799,502,1018,1941,403,4996,210,8756,768,2450,300,5781,252,7415,1976,908,855,2276,855,2276,307,6882,end
40,3787,501,967,1946,360,5020,251,8759,767,2445,353,5766,252,7359,1993,915,844,2267,844,2267,249,6868,end
41,3726,502,969,1947,352,5019,210,8760,768,2442,355,5719,260,7477,2003,917,807,2268,807,2268,298,6848,end
42,3780,501,1017,1952,412,4983,200,8760,758,2439,304,5672,252,7425,1946,916,840,2247,840,2247,257,6926,end
43,3793,500,975,1961,352,4986,200,8758,768,2437,352,5771,252,7368,2007,910,803,2261,803,2261,298,6866,end
44,3756,500,967,1965,360,4995,261,8755,768,2433,365,5737,252,7509,2054,916,844,2252,844,2252,249,6892,end
